epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,36061.8,1.82578,1.4264,2.0006,1.57259,0.55391,0.43253,0.44976,0.22336,0.53251,0.41546,0.42805,0.19997,1.82625,1.41702,1.844,1.53906,0.000887385,0.000887385,0.000887385
64,36603,1.82842,1.40656,2.01186,1.57378,0.56041,0.42936,0.45014,0.22386,0.53676,0.41416,0.42872,0.20007,1.82523,1.41675,1.84318,1.53831,0.000885569,0.000885569,0.000885569
65,37142.9,1.82326,1.4097,2.01117,1.57378,0.56107,0.43213,0.45048,0.22396,0.53422,0.41782,0.42904,0.20046,1.8248,1.41639,1.8431,1.53827,0.000883753,0.000883753,0.000883753
66,37684.9,1.81642,1.42519,1.99904,1.573,0.55892,0.43188,0.45065,0.22389,0.53523,0.4193,0.42973,0.20046,1.82328,1.41609,1.84145,1.53759,0.000881936,0.000881936,0.000881936
67,38227.8,1.82275,1.41187,2.00621,1.57632,0.55791,0.43283,0.45092,0.22439,0.53457,0.41753,0.42917,0.20073,1.82285,1.41616,1.84068,1.5374,0.00088012,0.00088012,0.00088012
68,38765.7,1.82454,1.42778,2.01109,1.57625,0.55693,0.43418,0.45178,0.2248,0.53554,0.41705,0.42949,0.20091,1.82123,1.41632,1.83993,1.53721,0.000878304,0.000878304,0.000878304
69,39304.1,1.81629,1.41485,2.00776,1.57093,0.56131,0.43326,0.45206,0.22484,0.53394,0.4182,0.4299,0.20138,1.81984,1.41604,1.83848,1.53626,0.000876487,0.000876487,0.000876487
70,39844,1.82443,1.40679,2.00544,1.57262,0.56269,0.43368,0.45238,0.22515,0.537,0.41703,0.43016,0.20183,1.81812,1.4153,1.83755,1.53514,0.000874671,0.000874671,0.000874671
71,40457.7,1.82608,1.42583,2.00358,1.57262,0.56248,0.43383,0.45316,0.22567,0.535,0.41841,0.43122,0.20223,1.81677,1.41529,1.83581,1.53461,0.000872855,0.000872855,0.000872855
72,40999.6,1.81464,1.40806,1.98655,1.5635,0.56266,0.43415,0.45353,0.22605,0.536,0.41964,0.43228,0.20298,1.81608,1.41503,1.83437,1.53373,0.000871038,0.000871038,0.000871038
